                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3073,                 3.5535,                 1.4556,                0.00407,                0.83001,                0.21841,                0.14661,                 1.0118,                 3.8658,                 1.3348,             0.00012861,             0.00012861,             0.00012861
                      1,                 1.2076,                 2.7973,                 1.3814,                 0.0046,                0.89631,                0.40201,                0.22646,                 1.1272,                  3.698,                 1.3883,             0.00026613,             0.00026613,             0.00026613
                      2,                  1.188,                 2.3817,                 1.3475,                0.00434,                0.86854,                0.42706,                0.23461,                 1.2251,                 3.6924,                 1.4939,               0.000398,               0.000398,               0.000398
                      3,                 1.2706,                 2.3287,                 1.4041,                0.84882,                0.04762,                0.31435,                 0.1722,                 1.2977,                 3.6991,                 1.5721,             0.00052421,             0.00052421,             0.00052421
                      4,                 1.2967,                 2.2417,                 1.3889,                0.68972,                0.11382,                0.26306,                0.13514,                 1.4967,                 3.7153,                 1.6754,             0.00064475,             0.00064475,             0.00064475
                      5,                 1.2917,                 2.1203,                 1.3975,                0.45711,                0.17891,                0.29906,                0.15075,                 1.5259,                  3.621,                 1.6625,             0.00075964,             0.00075964,             0.00075964
                      6,                 1.2831,                 2.0896,                 1.3537,                0.57906,                0.24677,                0.34933,                0.17943,                 1.5524,                 3.6564,                 1.7132,             0.00086887,             0.00086887,             0.00086887
                      7,                 1.2518,                 1.9492,                 1.3626,                 0.3995,                0.28241,                0.34193,                0.17442,                 1.6543,                 3.5835,                  1.803,             0.00097244,             0.00097244,             0.00097244
                      8,                 1.3667,                 2.0255,                 1.3802,                0.41796,                0.25436,                0.23868,                0.12014,                 1.7905,                  3.831,                 1.9942,              0.0010704,              0.0010704,              0.0010704
                      9,                 1.2837,                 1.9777,                 1.3698,                0.68728,                0.32257,                0.33926,                0.17104,                 1.7189,                 3.6436,                 1.9742,              0.0011626,              0.0011626,              0.0011626
                     10,                 1.2971,                 1.8894,                 1.3943,                0.41403,                0.29224,                0.30723,                0.13639,                 1.8664,                 3.6503,                 2.1572,              0.0011461,              0.0011461,              0.0011461
                     11,                 1.2602,                 1.9169,                 1.3996,                  0.393,                0.38345,                 0.3817,                0.21778,                 1.7648,                 3.1262,                 2.0086,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2412,                 1.8265,                 1.3507,                0.41029,                0.39978,                0.37477,                0.17299,                 1.7662,                  3.486,                  2.058,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.2789,                 1.8795,                 1.4039,                0.38461,                0.47581,                0.40565,                0.21747,                 1.6695,                  3.452,                 1.9907,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.2857,                 1.8105,                 1.4142,                0.54149,                0.36888,                0.38498,                0.19269,                 1.6885,                 3.2882,                 2.0624,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.2191,                 1.7592,                  1.339,                0.47609,                0.50307,                 0.4479,                0.21878,                 1.7105,                 3.3047,                 2.1098,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1889,                 1.6291,                 1.2905,                 0.4626,                0.37322,                0.38417,                0.21763,                 1.6357,                 2.9912,                 1.8578,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1984,                 1.5631,                 1.3284,                0.67186,                0.44936,                0.51496,                0.26432,                 1.7174,                 2.9999,                 1.7989,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.2511,                 1.7046,                 1.3408,                0.49868,                0.46775,                0.43582,                0.23953,                 1.6992,                 3.0258,                 1.8223,               0.000948,               0.000948,               0.000948
                     19,                 1.1905,                 1.6139,                  1.337,                0.45049,                0.34636,                0.34284,                 0.1772,                 1.9036,                 3.1156,                 1.9678,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1595,                   1.54,                 1.2669,                 0.6535,                0.39943,                0.42882,                0.21371,                 2.2156,                 2.9977,                 2.2734,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.1131,                 1.4607,                 1.2196,                0.44505,                0.48029,                0.42004,                0.19753,                  2.161,                 2.8011,                 2.2453,             0.00086312,             0.00086312,             0.00086312
                     22,                  1.162,                 1.5569,                 1.3008,                0.73898,                0.36965,                0.41979,                0.22023,                 1.8607,                 2.6543,                 2.0764,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.1309,                 1.4415,                  1.273,                0.52635,                0.47219,                0.49368,                0.26195,                 1.7295,                 2.5299,                 1.9694,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.0566,                 1.2372,                 1.2145,                0.47043,                0.50001,                0.43997,                0.24569,                 1.6297,                 2.5709,                 1.8398,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.0908,                 1.3806,                 1.2298,                0.61459,                0.47184,                0.46558,                0.24212,                 1.6735,                 2.6452,                 1.8055,             0.00074994,             0.00074994,             0.00074994
                     26,                0.95653,                 1.2567,                 1.1621,                0.49909,                0.62947,                 0.5446,                0.28927,                 1.6044,                 2.2919,                 1.7659,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0523,                 1.2496,                 1.1966,                0.56331,                0.55065,                0.52452,                0.30568,                 1.5894,                 2.2836,                 1.8024,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.0209,                 1.2001,                 1.1795,                0.72732,                0.56845,                0.60653,                0.33302,                 1.6301,                 2.2851,                 1.8039,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.0615,                 1.3023,                 1.2193,                0.72699,                0.46784,                0.61667,                 0.3011,                 1.6959,                 2.3176,                 1.8159,             0.00063676,             0.00063676,             0.00063676
                     30,                0.99725,                  1.152,                 1.1343,                0.66359,                0.52544,                0.61059,                0.31315,                 1.6746,                 2.3849,                 1.8357,             0.00060847,             0.00060847,             0.00060847
                     31,                0.95921,                 1.1185,                 1.1453,                0.61948,                0.56866,                0.59889,                0.31454,                 1.6426,                 2.2323,                 1.8075,             0.00058017,             0.00058017,             0.00058017
                     32,                0.95782,                 1.0929,                 1.1558,                0.64147,                0.55684,                0.62267,                0.32948,                 1.6118,                 2.1877,                 1.8033,             0.00055188,             0.00055188,             0.00055188
                     33,                0.95158,                 1.1432,                 1.1437,                0.59558,                0.52343,                0.56283,                0.26875,                 1.7953,                 2.4336,                 1.9532,             0.00052359,             0.00052359,             0.00052359
                     34,                0.91567,                 1.1272,                 1.1166,                0.60174,                0.52555,                 0.5473,                0.28565,                 1.6994,                 2.3743,                 1.9207,             0.00049529,             0.00049529,             0.00049529
                     35,                0.86729,                 1.0987,                 1.0939,                 0.5296,                0.60215,                0.57715,                0.29425,                 1.6944,                 2.1707,                 1.8519,               0.000467,               0.000467,               0.000467
                     36,                0.86017,                0.99602,                 1.0971,                0.62163,                0.61721,                0.57381,                 0.3006,                 1.5558,                 2.0571,                 1.7398,              0.0004387,              0.0004387,              0.0004387
                     37,                0.87214,                0.99712,                 1.0922,                0.64622,                0.56362,                0.57057,                0.32422,                 1.5948,                  1.986,                 1.7323,             0.00041041,             0.00041041,             0.00041041
                     38,                0.94079,                 1.0514,                 1.1507,                0.62468,                0.56746,                0.56484,                 0.3098,                  1.684,                 2.0105,                 1.8368,             0.00038211,             0.00038211,             0.00038211
                     39,                0.83323,                0.96201,                 1.0548,                0.54513,                0.58562,                0.54517,                0.29632,                 1.7334,                 2.0982,                 1.9093,             0.00035382,             0.00035382,             0.00035382
                     40,                 0.8095,                 1.1635,                  1.081,                0.53494,                0.57197,                 0.5116,                0.27627,                 1.7292,                 2.2186,                 1.9051,             0.00032553,             0.00032553,             0.00032553
                     41,                0.79694,                 1.0458,                 1.0256,                0.63387,                0.46902,                0.50776,                 0.2636,                 1.7303,                  2.365,                 1.9592,             0.00029723,             0.00029723,             0.00029723
                     42,                0.74279,                 1.0359,                 1.0474,                0.71686,                0.41714,                0.52457,                0.27107,                 1.6767,                 2.4578,                 1.8551,             0.00026894,             0.00026894,             0.00026894
                     43,                0.68913,                 0.9823,                0.99405,                0.46212,                0.53941,                0.53779,                0.29247,                  1.623,                 2.2298,                 1.8207,             0.00024064,             0.00024064,             0.00024064
                     44,                0.73572,                0.95543,                 1.0365,                0.47217,                0.59267,                0.53769,                0.29803,                   1.58,                 2.1373,                 1.7794,             0.00021235,             0.00021235,             0.00021235
                     45,                0.71645,                0.91736,                 1.0025,                0.57485,                0.54545,                0.55483,                 0.3073,                 1.5195,                 2.0683,                 1.7372,             0.00018406,             0.00018406,             0.00018406
                     46,                0.70019,                0.90543,                 1.0104,                0.59216,                0.56362,                0.55306,                 0.3071,                 1.5118,                 2.0258,                 1.7473,             0.00015576,             0.00015576,             0.00015576
                     47,                 0.6548,                0.86029,                0.97672,                0.49377,                0.57201,                0.52176,                0.28782,                 1.4944,                  2.016,                 1.7231,             0.00012747,             0.00012747,             0.00012747
                     48,                0.68967,                0.90506,                 1.0347,                0.49351,                0.55453,                0.52026,                0.29804,                 1.5096,                 2.0448,                 1.7092,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.59982,                0.83338,                0.97574,                0.60115,                0.47069,                0.54276,                0.30409,                 1.5291,                 2.0414,                 1.7106,             7.0878e-05,             7.0878e-05,             7.0878e-05
